cut,carat,color,clarity,depth,table,price,x,y,z
Very Good,1.26,I,VS1,59.2,60,6855,7.09,7.02,4.18
Very Good,0.24,E,VVS2,60,57,552,4.07,4.1,2.45
Very Good,0.3,G,SI2,63.3,57,506,4.28,4.25,2.7
Very Good,1,F,VS2,63.8,56.9,6841,6.29,6.36,4.04
Very Good,0.39,G,VVS1,63.2,57,943,4.62,4.65,2.93
Very Good,0.5,D,VS2,63.4,57,1758,5.09,5.04,3.21
Very Good,0.55,D,VS2,58.5,58.4,1975,5.39,5.42,3.16
Very Good,0.37,F,VS2,61,58,746,4.61,4.63,2.82
Very Good,0.52,G,VS2,63.3,57,1450,5.11,5.09,3.23
Very Good,2,H,SI2,63,59,15694,7.94,8.07,5.04
Very Good,1.76,H,SI1,63,63,9336,7.65,7.63,4.81
Very Good,0.78,J,SI1,59.4,62,2035,6.01,6.05,3.58
Very Good,0.35,D,SI1,60.1,61,644,4.56,4.59,2.75
Very Good,1.7,I,SI1,61.9,62,10680,7.52,7.58,4.67
Very Good,0.32,F,VS2,59.7,62,602,4.38,4.43,2.63
Very Good,1.07,I,VS2,62.5,56,4873,6.5,6.53,4.07
Very Good,1.02,H,SI2,62.6,57,4341,6.42,6.46,4.03
Very Good,0.9,G,SI2,63.4,59,3246,6.08,6.04,3.84
Very Good,0.56,D,IF,62.5,59,4025,5.26,5.3,3.3
Very Good,0.7,J,VS2,62,59,1907,5.61,5.65,3.49
Very Good,0.4,E,VVS1,62.9,56,1191,4.67,4.71,2.95
Very Good,2.03,G,SI2,62.7,55,17752,8.07,8.14,5.08
Very Good,1,F,SI2,61.1,61,4372,6.35,6.38,3.89
Very Good,0.34,G,SI1,63.4,57,521,4.4,4.45,2.81
Very Good,0.54,D,VS2,61.1,59,1583,5.25,5.29,3.22
Very Good,0.52,E,SI1,60.8,56,1343,5.17,5.2,3.15
Very Good,0.9,I,VS2,58.7,60,3709,6.28,6.35,3.71
Very Good,0.57,G,VS2,59.9,54.6,1633,5.43,5.46,3.26
Very Good,0.6,G,VS1,61.9,56,2094,5.41,5.45,3.36
Very Good,0.41,F,SI1,62.6,55,755,4.74,4.78,2.98
Very Good,0.71,J,VS1,63.3,55,1981,5.66,5.62,3.57
Very Good,1.02,E,SI2,60.5,58,4398,6.54,6.58,3.97
Very Good,1,G,VS1,62.4,60,6263,6.37,6.39,3.98
Very Good,0.64,E,VS2,63.4,54,2114,5.52,5.49,3.49
Very Good,0.9,G,SI2,63.2,58,3787,6.05,6.1,3.84
Very Good,1.04,G,VS1,63.2,56,6541,6.39,6.46,4.06
Very Good,1.56,F,SI1,60.7,59,11794,7.45,7.55,4.55
Very Good,0.9,G,SI1,63.8,53,3615,6.1,6.16,3.91
Very Good,0.81,F,SI1,61.3,57,2858,6.02,6.05,3.7
Very Good,0.92,D,SI1,60.8,58,5779,6.24,6.27,3.8
Very Good,0.8,G,SI1,62.1,56,3071,6.01,5.85,3.68
Very Good,0.73,E,VS1,62.1,60,3353,5.71,5.79,3.57
